clusters,word,score
-1,wearing,0.2139808766824279
-1,zhi,0.20601146413549185
-1,immortals,0.20601146413549185
-1,tan,0.20601146413549185
-1,aaron,0.20601146413549185
0,raja,0.3335506219375473
0,app,0.22236708129169822
0,menu,0.22236708129169822
0,open,0.22236708129169822
0,store,0.1700522104027406
1,boat,0.1368053645841997
1,sign,0.11740865918736183
1,stop,0.11531649038615477
1,plane,0.11531649038615477
1,says,0.0966576506878656
2,bottle,0.20889557216346924
2,titled,0.11242384843348409
2,fruit,0.09951321206340837
2,arealkalita,0.09951321206340837
2,shoot,0.09951321206340837
3,box,0.4463341579513585
3,person,0.09894167883036488
3,wearing,0.08961592271315358
3,shirt,0.08609249856958655
3,holding,0.08452937195861346
4,screen,0.20929271192451143
4,displayed,0.17807627421873073
4,phone,0.15733055938088497
4,man,0.14592572222314637
4,chinese,0.10119861396129425
5,phone,0.1390363082900844
5,time,0.10190759615520655
5,says,0.08541838897997425
5,10,0.08304875391761751
5,atm,0.07868486535246243
6,bottle,0.1927297841668993
6,sits,0.13840420679509577
6,table,0.12043144818307501
6,says,0.1107434389790621
6,standing,0.08972604066476264
7,phone,0.11799791953566373
7,says,0.0966576506878656
7,sign,0.08945421652370425
7,shown,0.0768776602574365
7,person,0.07385120525137283
