clusters,word,score
-1,man,0.09452007007635617
-1,phone,0.09341501963240045
-1,says,0.08347706195770212
-1,person,0.07175315964764065
-1,sits,0.06955160897026277
-1,wearing,0.06808482439895434
-1,table,0.06808482439895434
-1,sign,0.06759892498666288
-1,building,0.06639434294960427
-1,stop,0.06639434294960427
0,boat,0.3780802803054247
0,written,0.18455177509941187
0,plane,0.15934642307905023
0,helicopter,0.15934642307905023
0,white,0.12256093538165097
0,united,0.10487856355988676
0,24,0.10487856355988676
0,knife,0.10487856355988676
0,rambo,0.10487856355988676
0,ray,0.10487856355988676
1,box,0.5508818616958987
1,says,0.07573176754925552
1,book,0.07564710442622567
1,10,0.07363085398881553
1,00,0.07221199031637623
1,holding,0.06372381777807844
1,person,0.054246374991343445
1,ruler,0.05232137953849306
1,clock,0.04814132687758415
1,cup,0.04814132687758415
2,raja,0.298066513220787
2,app,0.198711008813858
2,menu,0.198711008813858
2,open,0.198711008813858
2,store,0.151961549721598
2,phone,0.14310385986240068
2,accademiabelleart,0.12273023395305897
2,adds,0.12273023395305897
2,30x30,0.12273023395305897
2,page,0.12273023395305897
3,sign,0.13597040911603048
3,kern,0.13533796840623538
3,says,0.12243302420462976
3,table,0.11982929094215963
3,phone,0.11957122512947259
3,person,0.11225383198208672
3,titled,0.10193095591302558
3,holding,0.09889936519157773
3,black,0.09522923782553475
3,white,0.08987801927987739
4,advertises,0.3786250303074862
4,fruit,0.27433371974236903
4,shoot,0.27433371974236903
4,granola,0.15590056745388575
4,dunkin,0.15590056745388575
4,a4,0.15590056745388575
4,nationals,0.15590056745388575
4,paso,0.15590056745388575
4,dkv,0.15590056745388575
4,oktoberfest,0.15590056745388575
5,bottle,0.24351255269341557
5,juice,0.1450049661495379
5,living,0.1450049661495379
5,arealkalita,0.1450049661495379
5,holding,0.14128480741653962
5,person,0.12027196283795004
5,wine,0.11882523095313346
5,titled,0.10921173847824169
5,sits,0.08743630841975891
5,book,0.08386021862107304
6,bottle,0.09787827868860785
6,says,0.09085136071721643
6,phone,0.08714333986909441
6,sits,0.06488206631854902
6,standing,0.06309357629783663
6,person,0.05949849751700709
6,cola,0.05878279976480101
6,sign,0.054051841079694095
6,white,0.04763852612007635
6,table,0.04234250563327196
7,wearing,0.12311228521454756
7,shirt,0.11827188648894277
7,car,0.10894689113878678
7,person,0.10091311950444437
7,number,0.09783825803993294
7,bus,0.09595291863956841
7,says,0.08805114754442551
7,store,0.07337869352994972
7,sign,0.06984781290207044
7,879l,0.06952292897580584
