clusters,word,score
-1,brand,0.11120467006554566
-1,building,0.10449454983315758
-1,written,0.0911149254176924
-1,sign,0.08972604066476264
-1,sport,0.08808093738037952
-1,type,0.08249784788959227
-1,number,0.08211224391537882
-1,does,0.07568515953082282
-1,say,0.07526965511442188
-1,shown,0.07178083253181011
0,boat,0.48689184829709786
0,plane,0.3465735902799726
0,number,0.32421302657064255
0,airplane,0.28195410084632366
0,helicopter,0.2594282615069813
0,tail,0.24344592414854893
0,letters,0.20493774745077423
0,island,0.16023113877204923
0,serial,0.16023113877204923
0,service,0.16023113877204923
1,does,0.13568780852823192
1,letter,0.13293259294104276
1,cup,0.11843315228848328
1,kind,0.11276625824066716
1,numbers,0.11240224549620735
1,bottle,0.11240224549620735
1,say,0.10795431616410778
1,ruler,0.08413889562388582
1,brand,0.07974677240736427
1,plane,0.07493483033080489
2,app,0.6260038049534116
2,shown,0.3401044208054812
2,10,0.2746819521806558
2,distance,0.2746819521806558
2,account,0.2746819521806558
2,seven,0.2746819521806558
2,kilometers,0.2746819521806558
2,noc,0.2746819521806558
2,wills,0.2746819521806558
2,need,0.2746819521806558
3,written,0.22044826939964482
3,shirt,0.2095796391067514
3,company,0.151961549721598
3,cross,0.12273023395305897
3,largest,0.12273023395305897
3,animals,0.12273023395305897
3,shaving,0.12273023395305897
3,spanish,0.12273023395305897
3,end,0.12273023395305897
3,surfaces,0.12273023395305897
4,presents,0.2746819521806558
4,arabica,0.2746819521806558
4,percentage,0.2746819521806558
4,plays,0.2746819521806558
4,unit,0.2746819521806558
4,coffee,0.2746819521806558
4,visit,0.2746819521806558
4,park,0.2746819521806558
4,used,0.24167494358256317
4,line,0.24167494358256317
5,left,0.325766607288024
5,protein,0.1720397903469094
5,price,0.1720397903469094
5,plus,0.1720397903469094
5,type,0.16695327183080197
5,brand,0.15003206334266836
5,letters,0.12504676115640462
5,yellow,0.12504676115640462
5,product,0.12105411587991705
5,right,0.11748257297626191
6,brand,0.13229729498558665
6,time,0.12028954741675879
6,drink,0.11301312726520847
6,does,0.10914019381618653
6,phone,0.0830958879725752
6,number,0.07611958015136824
6,right,0.07534208484347231
6,machine,0.07144608643490023
6,calendar,0.05516493277428072
6,red,0.05353392955444194
7,number,0.16160772401367413
7,car,0.15294467409868145
7,company,0.10987988979869394
7,license,0.10776250862597685
7,guy,0.10776250862597685
7,plate,0.10776250862597685
7,shirt,0.10102813372325453
7,does,0.09654709452970348
7,kind,0.09628503588241581
7,blue,0.09176680445920887
